cohort,cohort_label,feature,n_rows,input_nonmissing_n,input_nonmissing_percent,python_range_rejected_n,accepted_nonmissing_n,missing_after_preprocessing_n,missing_after_preprocessing_percent,clean_range_violation_n,quantile_basis,quantile_sample_n,upstream_filtering,minimum,q01,q25,median,q75,q99,maximum
mimic_development,MIMIC-IV 2008-2016 development,map_mean6,769283,764128,99.32989550009555,0,764128,5155,0.6701044999044565,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38064,counts start at the harmonized model-input table; common Python ranges were rechecked,21.5,54.0,70.16666412353516,78.16666412353516,87.33333587646484,114.16666412353516,209.0
mimic_development,MIMIC-IV 2008-2016 development,map_min6,769283,764128,99.32989550009555,1382,762746,6537,0.8497523018187065,1382,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38000,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,40.0,60.0,68.0,77.0,103.0,209.0
mimic_development,MIMIC-IV 2008-2016 development,map_max6,769283,764128,99.32989550009555,724,763404,5879,0.7642181095903589,724,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38032,counts start at the harmonized model-input table; common Python ranges were rechecked,22.0,60.0,79.0,89.0,101.0,147.0,250.0
mimic_development,MIMIC-IV 2008-2016 development,rr_last,769283,763342,99.22772243764648,16,763326,5957,0.7743574211311052,16,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38027,counts start at the harmonized model-input table; common Python ranges were rechecked,2.0,9.0,15.0,18.5,22.0,36.0,69.0
mimic_development,MIMIC-IV 2008-2016 development,rr_mean6,769283,763342,99.22772243764648,0,763342,5941,0.7722775623535162,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38027,counts start at the harmonized model-input table; common Python ranges were rechecked,4.166666666666667,11.166666984558105,16.16666603088379,18.625,21.66666603088379,32.55285835266099,52.71428571428572
mimic_development,MIMIC-IV 2008-2016 development,rr_min6,769283,763342,99.22772243764648,131,763211,6072,0.7893064060950261,131,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38026,counts start at the harmonized model-input table; common Python ranges were rechecked,2.0,7.0,12.0,15.0,18.0,28.0,46.0
mimic_development,MIMIC-IV 2008-2016 development,rr_max6,769283,763342,99.22772243764648,0,763342,5941,0.7722775623535162,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38027,counts start at the harmonized model-input table; common Python ranges were rechecked,5.0,13.0,20.0,23.0,27.0,42.0,69.0
mimic_development,MIMIC-IV 2008-2016 development,temp_last,769283,737531,95.87252025587462,3,737528,31755,4.127869717646171,3,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,36719,counts start at the harmonized model-input table; common Python ranges were rechecked,26.6,35.560001373291016,36.560001373291016,36.83000183105469,37.11000061035156,38.61000061035156,42.5
mimic_development,MIMIC-IV 2008-2016 development,temp_mean6,769283,737531,95.87252025587462,0,737531,31752,4.127479744125374,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,36719,counts start at the harmonized model-input table; common Python ranges were rechecked,28.9,35.55500030517578,36.560001373291016,36.80500030517578,37.11000061035156,38.5,42.1
mimic_development,MIMIC-IV 2008-2016 development,temp_min6,769283,737531,95.87252025587462,12,737519,31764,4.129039638208566,12,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,36719,counts start at the harmonized model-input table; common Python ranges were rechecked,26.3,35.29999923706055,36.439998626708984,36.720001220703125,37.0,38.279998779296875,41.6
mimic_development,MIMIC-IV 2008-2016 development,temp_max6,769283,737531,95.87252025587462,0,737531,31752,4.127479744125374,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,36719,counts start at the harmonized model-input table; common Python ranges were rechecked,28.9,35.560001373291016,36.61000061035156,36.88999938964844,37.220001220703125,39.060001373291016,42.5
mimic_development,MIMIC-IV 2008-2016 development,spo2_last,769283,763787,99.28556850989818,46,763741,5542,0.7204110840873905,46,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38045,counts start at the harmonized model-input table; common Python ranges were rechecked,50.0,88.0,95.0,97.0,99.0,100.0,100.0
mimic_development,MIMIC-IV 2008-2016 development,spo2_mean6,769283,763787,99.28556850989818,10,763777,5506,0.7157314018378153,10,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38046,counts start at the harmonized model-input table; common Python ranges were rechecked,50.5,90.5,95.33333587646484,96.85713958740234,98.5,100.0,100.0
mimic_development,MIMIC-IV 2008-2016 development,spo2_min6,769283,763787,99.28556850989818,259,763528,5755,0.7480992040640441,259,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38032,counts start at the harmonized model-input table; common Python ranges were rechecked,51.0,82.0,93.0,95.0,97.0,100.0,100.0
mimic_development,MIMIC-IV 2008-2016 development,spo2_max6,769283,763787,99.28556850989818,3,763784,5499,0.71482146362262,3,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38046,counts start at the harmonized model-input table; common Python ranges were rechecked,59.0,93.0,97.0,99.0,100.0,100.0,100.0
mimic_development,MIMIC-IV 2008-2016 development,creatinine_last,769283,664764,86.41345252657345,31,664733,104550,13.590577199808132,31,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,33038,counts start at the harmonized model-input table; common Python ranges were rechecked,0.1,0.4000000059604645,0.699999988079071,1.0,1.5,9.199999809265137,29.7
mimic_development,MIMIC-IV 2008-2016 development,sodium_last,769283,662573,86.12864186521735,0,662573,106710,13.871358134782648,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,32963,counts start at the harmonized model-input table; common Python ranges were rechecked,82.0,122.0,136.0,138.0,141.0,150.0,185.0
mimic_development,MIMIC-IV 2008-2016 development,potassium_last,769283,665507,86.51003596855773,10,665497,103786,13.491263943178259,10,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,33088,counts start at the harmonized model-input table; common Python ranges were rechecked,1.4,2.9870000123977665,3.700000047683716,4.099999904632568,4.5,6.0,11.1
mimic_development,MIMIC-IV 2008-2016 development,bicarbonate_last,769283,663542,86.25460331243508,20,663522,105761,13.7479965110369,20,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,32984,counts start at the harmonized model-input table; common Python ranges were rechecked,5.0,13.0,21.0,24.0,27.0,38.0,50.0
mimic_development,MIMIC-IV 2008-2016 development,glucose_last,769283,651368,84.67209076503705,136,651232,118051,15.345588034572453,136,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,32437,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,63.0,102.0,123.0,156.0,359.0,972.0
mimic_development,MIMIC-IV 2008-2016 development,bun_last,769283,664388,86.36457584530011,185,664203,105080,13.659472521815768,185,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,33017,counts start at the harmonized model-input table; common Python ranges were rechecked,1.0,4.0,13.0,19.0,33.0,114.0,199.0
mimic_development,MIMIC-IV 2008-2016 development,lactate_last,769283,247936,32.22949161751917,13,247923,521360,67.77219826773762,13,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,12284,counts start at the harmonized model-input table; common Python ranges were rechecked,0.1,0.6000000238418579,1.100000023841858,1.5,2.200000047683716,7.116999888420112,25.0
mimic_development,MIMIC-IV 2008-2016 development,ph_last,769283,320579,41.672440441294036,0,320579,448704,58.327559558705964,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,15988,counts start at the harmonized model-input table; common Python ranges were rechecked,6.77,7.179999828338623,7.340000152587891,7.389999866485596,7.429999828338623,7.539999961853027,7.75
mimic_development,MIMIC-IV 2008-2016 development,hemoglobin_last,769283,643862,83.69637701600061,8,643854,125429,16.30466291338818,8,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,31935,counts start at the harmonized model-input table; common Python ranges were rechecked,3.1,6.400000095367432,9.0,10.5,12.100000381469727,15.699999809265137,20.4
mimic_development,MIMIC-IV 2008-2016 development,hematocrit_last,769283,654263,85.04841521260707,18,654245,115038,14.953924628517724,18,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,32434,counts start at the harmonized model-input table; common Python ranges were rechecked,10.4,20.0,27.5,31.799999237060547,36.29999923706055,47.5,65.6
mimic_development,MIMIC-IV 2008-2016 development,wbc_last,769283,643378,83.63346128797855,44,643334,125949,16.372258323659825,44,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,31922,counts start at the harmonized model-input table; common Python ranges were rechecked,0.1,1.7000000476837158,7.099999904632568,9.800000190734863,13.399999618530273,34.5,295.5
mimic_selection,MIMIC-IV 2017-2019 model selection,age,188436,188436,100.0,0,188436,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9438,counts start at the harmonized model-input table; common Python ranges were rechecked,18.0,21.0,54.0,66.0,76.0,91.0,96.0
mimic_selection,MIMIC-IV 2017-2019 model selection,sex_male,188436,188436,100.0,0,188436,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9438,counts start at the harmonized model-input table; common Python ranges were rechecked,0.0,0.0,0.0,1.0,1.0,1.0,1.0
mimic_selection,MIMIC-IV 2017-2019 model selection,index_hour,188436,188436,100.0,0,188436,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9438,counts start at the harmonized model-input table; common Python ranges were rechecked,6.0,6.0,10.0,14.0,19.0,24.0,24.0
mimic_selection,MIMIC-IV 2017-2019 model selection,hr_last,188436,187373,99.43588274002845,2,187371,1065,0.5651786282875884,2,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9398,counts start at the harmonized model-input table; common Python ranges were rechecked,24.0,48.0,70.0,81.0,95.0,133.0,200.0
mimic_selection,MIMIC-IV 2017-2019 model selection,hr_mean6,188436,187373,99.43588274002845,0,187373,1063,0.5641172599715554,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9398,counts start at the harmonized model-input table; common Python ranges were rechecked,28.666666666666668,49.66666793823242,70.80000305175781,81.66666412353516,94.16666412353516,130.40299407958992,191.5
mimic_selection,MIMIC-IV 2017-2019 model selection,hr_min6,188436,187373,99.43588274002845,7,187366,1070,0.5678320490776709,7,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9398,counts start at the harmonized model-input table; common Python ranges were rechecked,23.0,43.0,64.0,74.0,86.0,122.0,168.0
mimic_selection,MIMIC-IV 2017-2019 model selection,hr_max6,188436,187373,99.43588274002845,7,187366,1070,0.5678320490776709,7,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9397,counts start at the harmonized model-input table; common Python ranges were rechecked,32.0,55.0,78.0,90.0,104.0,147.0,227.0
mimic_selection,MIMIC-IV 2017-2019 model selection,sbp_last,188436,187075,99.27773886093952,7,187068,1368,0.7259759281665924,7,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9380,counts start at the harmonized model-input table; common Python ranges were rechecked,32.0,82.0,106.0,119.0,134.0,176.0,282.0
mimic_selection,MIMIC-IV 2017-2019 model selection,sbp_mean6,188436,187075,99.27773886093952,0,187075,1361,0.7222611390604767,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9381,counts start at the harmonized model-input table; common Python ranges were rechecked,52.2,87.83333587646484,108.0,119.57142639160156,132.42857360839844,169.0,228.0
mimic_selection,MIMIC-IV 2017-2019 model selection,sbp_min6,188436,187075,99.27773886093952,38,187037,1399,0.7424271370651043,38,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9379,counts start at the harmonized model-input table; common Python ranges were rechecked,31.0,70.0,94.0,106.0,119.0,154.0,198.0
mimic_selection,MIMIC-IV 2017-2019 model selection,sbp_max6,188436,187075,99.27773886093952,24,187051,1385,0.7349975588528731,24,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9380,counts start at the harmonized model-input table; common Python ranges were rechecked,62.0,95.0,120.0,133.0,148.0,195.0,282.0
mimic_selection,MIMIC-IV 2017-2019 model selection,dbp_last,188436,187074,99.27720817678151,16,187058,1378,0.7312827697467575,16,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9380,counts start at the harmonized model-input table; common Python ranges were rechecked,11.0,38.0,56.0,65.0,76.0,112.0,200.0
mimic_selection,MIMIC-IV 2017-2019 model selection,dbp_mean6,188436,187074,99.27720817678151,0,187074,1362,0.7227918232184933,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9381,counts start at the harmonized model-input table; common Python ranges were rechecked,16.666666666666668,41.74285736083984,58.0,66.16666412353516,75.5,102.16666412353516,153.0
mimic_selection,MIMIC-IV 2017-2019 model selection,dbp_min6,188436,187074,99.27720817678151,24,187050,1386,0.7355282430108896,24,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9380,counts start at the harmonized model-input table; common Python ranges were rechecked,10.0,31.0,49.0,57.0,66.0,92.0,137.0
mimic_selection,MIMIC-IV 2017-2019 model selection,dbp_max6,188436,187074,99.27720817678151,94,186980,1456,0.7726761340720457,94,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9374,counts start at the harmonized model-input table; common Python ranges were rechecked,18.0,48.0,67.0,77.0,89.0,135.0,200.0
mimic_selection,MIMIC-IV 2017-2019 model selection,map_last,188436,186789,99.1259631917468,45,186744,1692,0.8979175953639432,45,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9364,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,54.0,72.0,81.0,92.0,125.3700000000008,247.0
mimic_selection,MIMIC-IV 2017-2019 model selection,map_mean6,188436,186789,99.1259631917468,0,186789,1647,0.8740368082532001,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9367,counts start at the harmonized model-input table; common Python ranges were rechecked,24.0,58.62758682250976,73.83333587646484,81.66666412353516,91.0,117.16666412353516,182.0
mimic_selection,MIMIC-IV 2017-2019 model selection,map_min6,188436,186789,99.1259631917468,363,186426,2010,1.066675157613195,363,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9344,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,46.0,64.0,72.0,81.0,107.0,182.0
mimic_selection,MIMIC-IV 2017-2019 model selection,map_max6,188436,186789,99.1259631917468,164,186625,1811,0.9610690101679085,164,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9360,counts start at the harmonized model-input table; common Python ranges were rechecked,24.0,66.0,83.0,92.0,103.0,150.0,249.0
mimic_selection,MIMIC-IV 2017-2019 model selection,rr_last,188436,185304,98.33789721709228,11,185293,3143,1.6679403086459064,11,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9291,counts start at the harmonized model-input table; common Python ranges were rechecked,2.0,9.0,15.0,18.0,22.0,36.0,69.0
mimic_selection,MIMIC-IV 2017-2019 model selection,rr_mean6,188436,185304,98.33789721709228,1,185303,3133,1.6626334670657412,1,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9292,counts start at the harmonized model-input table; common Python ranges were rechecked,3.8333333333333335,11.5,16.071428298950195,18.5,21.5,32.16666793823242,47.8
mimic_selection,MIMIC-IV 2017-2019 model selection,rr_min6,188436,185304,98.33789721709228,49,185255,3181,1.688106306650534,49,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9291,counts start at the harmonized model-input table; common Python ranges were rechecked,2.0,6.0,12.0,15.0,17.0,27.0,47.0
mimic_selection,MIMIC-IV 2017-2019 model selection,rr_max6,188436,185304,98.33789721709228,1,185303,3133,1.6626334670657412,1,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9292,counts start at the harmonized model-input table; common Python ranges were rechecked,5.0,14.0,20.0,23.0,27.0,44.0,69.0
mimic_selection,MIMIC-IV 2017-2019 model selection,temp_last,188436,180823,95.95990150502027,0,180823,7613,4.040098494979728,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9046,counts start at the harmonized model-input table; common Python ranges were rechecked,28.56,36.060001373291016,36.66999816894531,36.83000183105469,37.11000061035156,38.42199993133542,40.56
mimic_selection,MIMIC-IV 2017-2019 model selection,temp_mean6,188436,180823,95.95990150502027,0,180823,7613,4.040098494979728,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9046,counts start at the harmonized model-input table; common Python ranges were rechecked,29.39,35.986249160766604,36.665000915527344,36.834999084472656,37.11000061035156,38.2954999923706,39.67333333333334
mimic_selection,MIMIC-IV 2017-2019 model selection,temp_min6,188436,180823,95.95990150502027,0,180823,7613,4.040098494979728,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9046,counts start at the harmonized model-input table; common Python ranges were rechecked,27.78,35.70000076293945,36.560001373291016,36.779998779296875,37.0,38.0,39.61
mimic_selection,MIMIC-IV 2017-2019 model selection,temp_max6,188436,180823,95.95990150502027,0,180823,7613,4.040098494979728,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9046,counts start at the harmonized model-input table; common Python ranges were rechecked,29.78,36.11000061035156,36.66999816894531,36.939998626708984,37.220001220703125,38.83000183105469,40.56
mimic_selection,MIMIC-IV 2017-2019 model selection,spo2_last,188436,187137,99.31064127873655,9,187128,1308,0.6941348786856015,9,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9387,counts start at the harmonized model-input table; common Python ranges were rechecked,50.0,89.0,95.0,97.0,99.0,100.0,100.0
mimic_selection,MIMIC-IV 2017-2019 model selection,spo2_mean6,188436,187137,99.31064127873655,2,187135,1301,0.6904200895794859,2,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9387,counts start at the harmonized model-input table; common Python ranges were rechecked,51.2,90.66666412353516,95.16666412353516,96.66666412353516,98.33333587646484,100.0,100.0
mimic_selection,MIMIC-IV 2017-2019 model selection,spo2_min6,188436,187137,99.31064127873655,74,187063,1373,0.728629348956675,74,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9382,counts start at the harmonized model-input table; common Python ranges were rechecked,50.0,81.0,93.0,95.0,97.0,100.0,100.0
mimic_selection,MIMIC-IV 2017-2019 model selection,spo2_max6,188436,187137,99.31064127873655,0,187137,1299,0.6893587212634529,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,9387,counts start at the harmonized model-input table; common Python ranges were rechecked,53.0,93.0,97.0,99.0,100.0,100.0,100.0
mimic_selection,MIMIC-IV 2017-2019 model selection,creatinine_last,188436,161968,85.95385170561889,33,161935,26501,14.063660871595662,33,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,8123,counts start at the harmonized model-input table; common Python ranges were rechecked,0.2,0.30000001192092896,0.699999988079071,0.8999999761581421,1.2000000476837158,7.900000095367432,19.8
mimic_selection,MIMIC-IV 2017-2019 model selection,sodium_last,188436,155845,82.70447260608377,0,155845,32591,17.295527393916238,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7790,counts start at the harmonized model-input table; common Python ranges were rechecked,91.0,121.0,136.0,139.0,142.0,151.0,178.0
mimic_selection,MIMIC-IV 2017-2019 model selection,potassium_last,188436,158605,84.16916088220934,0,158605,29831,15.830839117790656,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7941,counts start at the harmonized model-input table; common Python ranges were rechecked,1.5,3.0,3.799999952316284,4.199999809265137,4.5,6.059999942779577,10.0
mimic_selection,MIMIC-IV 2017-2019 model selection,bicarbonate_last,188436,161813,85.87159566112632,11,161802,26634,14.134241864611857,11,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,8106,counts start at the harmonized model-input table; common Python ranges were rechecked,5.0,12.0,21.0,23.0,25.0,36.0,46.0
mimic_selection,MIMIC-IV 2017-2019 model selection,glucose_last,188436,155315,82.42321000233501,16,155299,33137,17.585280944193254,16,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7764,counts start at the harmonized model-input table; common Python ranges were rechecked,21.0,67.0,102.0,123.0,150.0,326.3699999999999,861.0
mimic_selection,MIMIC-IV 2017-2019 model selection,bun_last,188436,161850,85.89123097497294,27,161823,26613,14.12309749729351,27,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,8110,counts start at the harmonized model-input table; common Python ranges were rechecked,1.0,4.0,12.0,17.0,27.0,110.0,200.0
mimic_selection,MIMIC-IV 2017-2019 model selection,lactate_last,188436,72007,38.21297416629519,0,72007,116429,61.78702583370481,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,3465,counts start at the harmonized model-input table; common Python ranges were rechecked,0.2,0.6000000238418579,1.2000000476837158,1.600000023841858,2.299999952316284,8.100000381469727,24.0
mimic_selection,MIMIC-IV 2017-2019 model selection,ph_last,188436,86337,45.817678150671846,0,86337,102099,54.182321849328154,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,4171,counts start at the harmonized model-input table; common Python ranges were rechecked,6.85,7.199999809265137,7.340000152587891,7.380000114440918,7.420000076293945,7.53000020980835,7.65
mimic_selection,MIMIC-IV 2017-2019 model selection,hemoglobin_last,188436,158781,84.26256129402024,0,158781,29655,15.737438705979748,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7933,counts start at the harmonized model-input table; common Python ranges were rechecked,3.1,6.5,9.0,10.800000190734863,12.399999618530273,15.800000190734863,20.7
mimic_selection,MIMIC-IV 2017-2019 model selection,hematocrit_last,188436,159185,84.47695769385892,4,159181,29255,15.525165042773143,4,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7951,counts start at the harmonized model-input table; common Python ranges were rechecked,11.2,20.200000762939453,27.899999618530273,33.0,37.70000076293945,47.95000076293945,67.7
mimic_selection,MIMIC-IV 2017-2019 model selection,wbc_last,188436,158802,84.2737056613386,17,158785,29651,15.735315969347683,17,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7929,counts start at the harmonized model-input table; common Python ranges were rechecked,0.1,2.299999952316284,7.699999809265137,10.5,14.100000381469727,33.400001525878906,291.9
mimic_temporal_test,MIMIC-IV 2020-2022 temporal test,age,152895,152895,100.0,0,152895,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7576,counts start at the harmonized model-input table; common Python ranges were rechecked,18.0,22.0,54.0,65.0,76.0,91.0,93.0
mimic_temporal_test,MIMIC-IV 2020-2022 temporal test,sex_male,152895,152895,100.0,0,152895,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7576,counts start at the harmonized model-input table; common Python ranges were rechecked,0.0,0.0,0.0,1.0,1.0,1.0,1.0
mimic_temporal_test,MIMIC-IV 2020-2022 temporal test,index_hour,152895,152895,100.0,0,152895,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,7576,counts start at the harmonized model-input table; common Python ranges were rechecked,6.0,6.0,10.0,14.0,19.0,24.0,24.0
